console,genre,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1997
WinP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2016
PS3,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2013
X360,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2013
And,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2016
PCE,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1991
DSiW,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1997
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1982
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PCFX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
GB,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
DC,Adventure,7.1,0.12,0.12,0.04,0.04,0.01,2000
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1997
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2005
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1998
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1998
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2012
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
WiiU,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
XOne,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
PS4,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2005
And,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
GB,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1991
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
DC,Adventure,6.1,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
GB,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PCE,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
GB,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1988
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1989
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
VC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
SNES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
WS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PSN,Adventure,6.0,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2005
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
X360,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2006
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2005
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
NES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1989
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1991
SNES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
NES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
PS3,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
X360,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
MS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1991
Wii,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
DSiW,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2006
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
GBA,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2005
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PCFX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
3DO,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1994
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
3DO,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
DC,Adventure,6.4,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2006
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1989
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
XOne,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2013
GBA,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1998
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
ACPC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1988
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1992
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1997
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1997
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1998
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
NES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1992
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
GB,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
XOne,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2016
PS4,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2016
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1994
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
NES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1985
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
Linux,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PS3,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2012
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
XBL,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
XB,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2006
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
Linux,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
3DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
DSiW,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
SCD,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1992
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
Wii,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PS2,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
WW,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1997
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PSN,Adventure,6.8,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
GB,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
WW,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
3DO,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1994
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
Wii,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1979
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
GBA,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PSV,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
WiiU,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
PS3,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2018
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2018
And,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2018
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
Linux,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2005
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
GBA,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2006
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
3DO,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SCD,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1998
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
NES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1988
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
GBA,Adventure,3.9,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
DC,Adventure,7.2,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
SCD,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2012
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1994
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1998
XBL,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1994
GBA,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
XBL,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
XBL,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2006
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
GBA,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1987
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SNES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
Linux,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1998
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1988
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1991
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
GEN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
VC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
SCD,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
GG,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1994
XBL,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
MS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
VC,Adventure,6.3,0.12,0.12,0.04,0.04,0.01,2006
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
DC,Adventure,8.6,0.12,0.12,0.04,0.04,0.01,2000
GG,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
MS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1996
SCD,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1994
VC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PSN,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2007
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1999
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1991
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
GBA,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1991
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1990
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2002
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
SNES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
3DO,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
3DO,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SNES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
3DO,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SNES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SAT,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
PS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
SNES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1995
DS,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1989
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
Linux,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2013
OSX,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2013
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2013
DC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1993
NES,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,1988
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2000
And,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2009
DSiW,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
DSiW,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2010
XBL,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PSP,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Adventure,7.5,0.12,0.12,0.04,0.04,0.01,2014
